,Name,Type,Rating,Delivery Time,Price
839,Krishna Veg,"North Indian, South Indian, Chinese, Beverages, Snacks",--,45 MINS,250 FOR TWO
840,RONI'S CAFE,"Fast Food, Italian, Chinese, Beverages",--,39 MINS,300 FOR TWO
841,Santosh sweets,"Sweets, Snacks, Chaat, Fast Food",3.8,40 MINS,200 FOR TWO
842,Monk's Hotdogs,Fast Food,--,39 MINS,250 FOR TWO
843,Lazeez Biryani House,North Indian,--,35 MINS,300 FOR TWO
844,PK Biryani House (Deccan),"Biryani, Maharashtrian, North Indian, Mughlai, Hyderabadi, Indian",4.0,27 MINS,400 FOR TWO
845,MH 12 Pav Bhaji,"Snacks, Pizzas, Beverages, Street Food",4.2,24 MINS,250 FOR TWO
846,Kok Pa Chinese,"Chinese, Asian",4.1,26 MINS,250 FOR TWO
847,Durvankur Dining Hall,Maharashtrian,--,28 MINS,600 FOR TWO
848,Chaitanya Paranthas,"North Indian, Punjabi, Chinese, Thalis, Beverages, Desserts",4.1,27 MINS,250 FOR TWO
849,Panchali Restaurant,North Indian,4.2,20 MINS,500 FOR TWO
850,Oh! Calcutta,Bengali,4.2,40 MINS,800 FOR TWO
851,Shahji's Parantha House (Laxmi Road),North Indian,4.3,31 MINS,400 FOR TWO
852,Oven Story Pizza,"Pizzas, Italian",4.1,26 MINS,400 FOR TWO
853,Hotel Bismillah,North Indian,3.9,29 MINS,300 FOR TWO
854,Faasos - Wraps & Rolls,"Fast Food, North Indian, Street Food, Desserts",4.4,24 MINS,200 FOR TWO
855,Pizza Hut,Pizzas,3.7,32 MINS,350 FOR TWO
856,Oye Kiddan,"Punjabi, North Indian, Desserts, Thalis",4.2,38 MINS,250 FOR TWO
857,Gokul Chinese,Chinese,3.9,26 MINS,300 FOR TWO
858,Vrudheshwar Pure Veg,North Indian,4.0,24 MINS,300 FOR TWO
859,McDonald's,"Burgers, Beverages, Cafe, Desserts",4.2,24 MINS,400 FOR TWO
860,Sri Suprabhath Tiffins,"South Indian, Beverages",4.1,67 MINS,150 FOR TWO
861,SONU CHICKEN PAKODI,"Snacks, Fast Food",--,70 MINS,120 FOR TWO
862,Maa Vanta Gadhi,South Indian,4.3,56 MINS,150 FOR TWO
863,The Thick Shake Factory,Beverages,3.9,74 MINS,200 FOR TWO
864,Om Sai Ram Tiffins,South Indian,4.0,64 MINS,100 FOR TWO
865,Mahadev Marwadi Bojnalay,North Indian,3.7,55 MINS,200 FOR TWO
866,EAT N TREAT,Indian,--,74 MINS,150 FOR TWO
867,ICE MAGIC,Beverages,4.0,53 MINS,150 FOR TWO
868,Surabhi Food Forest,Bakery,3.4,65 MINS,150 FOR TWO
869,FOOD ON FIRE,"North Indian, Biryani, Chinese",--,67 MINS,600 FOR TWO
870,Platform 65,"North Indian, South Indian, Chinese, Tandoor",3.8,70 MINS,800 FOR TWO
871,Akshay tiffins,"South Indian, North Indian",4.1,65 MINS,100 FOR TWO
872,Balaji ratanlal sweet&chaat,"Desserts, Beverages",3.3,57 MINS,200 FOR TWO
873,Let's Scoop Ice Cream Cafe,"Ice Cream, Desserts, Fast Food, Beverages, Italian",4.0,73 MINS,200 FOR TWO
874,Stuti Pure Veg Restaurant,"Indian, Chinese, Biryani",3.8,56 MINS,250 FOR TWO
875,Chulbul Dhaba,"North Indian, Punjabi",4.0,22 MINS,200 FOR TWO
876,Shangri-La Kamalbaug,"Mughlai, North Indian, Chinese, Malwani",4.1,24 MINS,400 FOR TWO
877,Hotel Tittos,"Chinese, North Indian",3.7,21 MINS,250 FOR TWO
878,McDonald's,"Burgers, Beverages, Cafe, Desserts",4.3,25 MINS,400 FOR TWO
879,Pizza Hut,Pizzas,3.9,31 MINS,300 FOR TWO
880,Lehza Veg Divine,North Indian,3.8,25 MINS,200 FOR TWO
881,Behrouz Biryani,"Biryani, Mughlai, Lucknowi, Hyderabadi, Kebabs, North Indian, Persian, Desserts",4.1,30 MINS,500 FOR TWO
882,Burger King,"Burgers, American",4.1,26 MINS,350 FOR TWO
883,The Momo Panda,"Chinese, Beverages",4.4,24 MINS,200 FOR TWO
884,LunchBox - Meals and Thalis,"North Indian, Punjabi, Biryani, Healthy Food, Jain, Thalis, Indian, Mughlai, Des...",4.1,26 MINS,200 FOR TWO
885,KFC,"Burgers, Biryani, American, Snacks, Fast Food",4.0,25 MINS,400 FOR TWO
886,The Taste,"North Indian, Chinese",4.2,26 MINS,350 FOR TWO
887,CakeZone,"Bakery, Desserts, Sweets, Ice Cream",4.4,24 MINS,200 FOR TWO
888,Sujata Mastani,Desserts,4.2,15 MINS,200 FOR TWO
889,Hotel Al Zaika,"North Indian, Chinese, Punjabi, Desserts, Beverages",3.8,24 MINS,500 FOR TWO
890,Satguru's Punjabi Rasoi,"Punjabi, North Indian, Chinese, Salads, Snacks",4.0,32 MINS,500 FOR TWO
891,The Chinese Monk,"Chinese, Tibetan, Healthy Food, Pan-Asian, Beverages, Use Code BF75 to Avail",3.8,23 MINS,200 FOR TWO
892,McDonald's,"Burgers, Beverages, Cafe, Desserts",4.3,19 MINS,400 FOR TWO
893,Pizza Hut,Pizzas,3.8,29 MINS,350 FOR TWO
894,Bebe Di Rasoi - Punjabi,"North Indian, Punjabi, Biryani, Kebabs, Mughlai, Desserts, Beverages",4.0,37 MINS,300 FOR TWO
895,Shreeji Pure Veg (Bharti Vidhyapith),"North Indian, Chinese, South Indian, Fast Food",4.0,22 MINS,300 FOR TWO
896,Krushnasagar Veg Restaurant,"South Indian, Punjabi, Indian, Chinese",4.1,22 MINS,250 FOR TWO
897,PK Mutton Bhakari,"Biryani, Thalis, Kebabs",4.0,41 MINS,400 FOR TWO
898,Radha Krushna,"North Indian, Chinese, South Indian",4.0,19 MINS,250 FOR TWO
899,Vedant Pure Veg,"North Indian, Chinese",4.1,27 MINS,400 FOR TWO
900,Subway,"Healthy Food, Salads, Snacks, Desserts, Beverages",4.1,26 MINS,350 FOR TWO
901,Kanha,"South Indian, North Indian, Chinese, Indian, Desserts, Beverages",4.3,24 MINS,300 FOR TWO
902,SAWAI SEVVEN,"North Indian, Biryani, Kebabs, Thalis",4.3,25 MINS,500 FOR TWO
903,Nisarg,Coastal,4.5,50 MINS,1200 FOR TWO
904,Best Belgian waffle,"Desserts, Beverages, Bakery",4.3,22 MINS,250 FOR TWO
905,Cafe Momos,Beverages,4.3,18 MINS,200 FOR TWO
906,UBQ by Barbeque Nation,"North Indian, Barbecue, Biryani, Kebabs, Mughlai, Desserts",3.5,40 MINS,300 FOR TWO
907,Oye Kiddan,"North Indian, Punjabi, Thalis",4.1,38 MINS,250 FOR TWO
908,McDonald's,"Burgers, Beverages, Cafe, Desserts",4.4,28 MINS,400 FOR TWO
909,Burger King,"Burgers, American",4.2,37 MINS,350 FOR TWO
910,Domino's Pizza,Pizzas,4.1,30 MINS,400 FOR TWO
911,KFC,"Burgers, Biryani, American, Snacks, Fast Food",4.0,38 MINS,550 FOR TWO
912,NIC Ice Creams,"Ice Cream, Desserts",4.7,24 MINS,120 FOR TWO
913,House of Hyderabad,"Biryani, Chinese, Kebabs, North Indian, Mughlai",3.9,37 MINS,400 FOR TWO
914,Pizza Hut,"Pizzas, Fast Food",3.7,36 MINS,250 FOR TWO
915,Ashapuri Dining Hall,"North Indian, Chinese, Rajasthani",3.9,33 MINS,250 FOR TWO
916,Signature,"Mughlai, Afghani, North Indian",3.9,40 MINS,500 FOR TWO
917,Hyderabadi Spice,"Biryani, Mughlai, North Indian, Chinese",4.1,32 MINS,500 FOR TWO
918,Garwa Biryani,Biryani,3.5,26 MINS,300 FOR TWO
919,Za'atar,"Middle Eastern, Lebanese, Arabian, Beverages",4.7,38 MINS,800 FOR TWO
920,Kimling,"Chinese, Seafood, Thai, Pan-Asian, Desserts",4.3,39 MINS,500 FOR TWO
921,Sai Sagar Pure Veg- Aundh,"Indian, Punjabi, South Indian, Beverages",4.2,35 MINS,250 FOR TWO
922,Absolute China,Chinese,3.6,33 MINS,200 FOR TWO
923,KFC,"Burgers, Biryani, American, Snacks, Fast Food",3.9,26 MINS,400 FOR TWO
924,Home Food,"Indian, Snacks",4.5,32 MINS,10 FOR TWO
925,Asia Seven,"Chinese, Asian, Pan-Asian, Snacks",4.1,28 MINS,350 FOR TWO
926,Pizza by ovenmaster,"Pizzas, Italian",3.9,20 MINS,200 FOR TWO
927,Faasos - Wraps & Rolls,"Fast Food, North Indian, Street Food, Desserts",4.2,27 MINS,200 FOR TWO
928,Domino's Pizza,Pizzas,4.3,30 MINS,400 FOR TWO
929,Subway,"Fast Food, Healthy Food, Salads, Snacks, Desserts, Beverages",4.3,31 MINS,350 FOR TWO
930,Holiday Inn Express,"Indian, Chinese",--,23 MINS,800 FOR TWO
931,Hotel Dhangarwada,"North Indian, Thalis, Biryani, Snacks",--,20 MINS,600 FOR TWO
932,KOLHAPURI PAHUNCHAR,"Indian, Maharashtrian, North Indian, Thalis",3.8,28 MINS,200 FOR TWO
933,Wow! Chinese,Chinese,--,19 MINS,250 FOR TWO
934,WOW! Burgers,Indian,--,25 MINS,200 FOR TWO
935,Chinese Karkhana,"Chinese, Asian, Beverages, Desserts",4.2,27 MINS,200 FOR TWO
936,Chinese Club,Chinese,4.1,24 MINS,200 FOR TWO
937,Mandarin Grill,"Chinese, Tandoor, Kebabs",3.9,32 MINS,200 FOR TWO
938,Rose Wood,"North Indian, Continental, Asian",4.2,20 MINS,700 FOR TWO
939,Sujata Mastani,Desserts,4.4,22 MINS,200 FOR TWO
940,George Restaurant,"North Indian, Chinese, Biryani, Mughlai, Parsi",4.3,29 MINS,750 FOR TWO
941,Rajendra Paav Bhaji,"Street Food, Desserts",4.2,27 MINS,350 FOR TWO
942,PK Mutton Bhakari,"Biryani, Thalis, Kebabs",4.0,33 MINS,400 FOR TWO
943,Garvaa Biryani - Narayan Peth,Biryani,--,23 MINS,200 FOR TWO
944,Natural Ice Cream,"Ice Cream, Desserts",4.6,21 MINS,150 FOR TWO
945,FRIED CHICKEN DESTINATION,"American, Snacks",4.0,31 MINS,200 FOR TWO
946,LunchBox - Meals and Thalis,"North Indian, Punjabi, Biryani, Healthy Food, Jain, Thalis, Indian, Mughlai, Des...",4.1,25 MINS,200 FOR TWO
947,Behrouz Biryani,"Biryani, Mughlai, Lucknowi, Hyderabadi, Kebabs, North Indian, Persian, Desserts",4.4,27 MINS,500 FOR TWO
948,Madinah,"Mughlai, North Indian, Chinese, Biryani",3.9,31 MINS,350 FOR TWO
949,UNCLE'S CHINESE,"Chinese, Thai",4.3,32 MINS,450 FOR TWO
950,Al Madina Biryani House,"Biryani, Chinese, North Indian, Mughlai, Beverages",3.5,29 MINS,200 FOR TWO
951,The Good Bowl,"North Indian, Punjabi, Biryani, Chinese, Beverages, Desserts, Jain, Indian, Hyde...",4.1,22 MINS,400 FOR TWO
952,Masaledar Biryani House,"Biryani, Maharashtrian",3.7,24 MINS,500 FOR TWO
953,Ramsar Bakery,"Bakery, Snacks, Desserts, Fast Food, Beverages, Indian, Street Food",4.2,20 MINS,300 FOR TWO
954,SP's Biryani House,"Biryani, North Indian, Indian, Maharashtrian",4.1,27 MINS,900 FOR TWO
955,A1 Zaika,"North Indian, Biryani, Indian, Chinese, Tandoor",3.0,35 MINS,400 FOR TWO
956,Master Chef,"Chinese, North Indian, Mughlai",3.1,34 MINS,450 FOR TWO
957,Baskin Robbins,"Desserts, Ice Cream",4.2,32 MINS,250 FOR TWO
958,Jain Sweets And Kitchen,"Thalis, Biryani, Indian, Chinese",3.8,35 MINS,350 FOR TWO
959,CRAZZY ROLLS,"Pizzas, Burgers, Fast Food",--,43 MINS,200 FOR TWO
960,Punjabi Non Veg,"Chinese, North Indian",3.8,34 MINS,550 FOR TWO
961,Pirajees Cake & Cafe,"Desserts, Beverages",4.0,37 MINS,500 FOR TWO
962,Famous Pav Bhaji,"North Indian, Street Food, Beverages",--,37 MINS,250 FOR TWO
963,Mera Ek Sapna,"Thalis, Chinese",--,39 MINS,200 FOR TWO
964,Royal Pune Non Veg,"Chinese, Mughlai, North Indian",3.5,33 MINS,600 FOR TWO
965,Taste Pav Bhaji,"Chinese, Street Food",--,42 MINS,250 FOR TWO
966,Hotel Lijjat Non Veg,"Chinese, North Indian",3.8,34 MINS,400 FOR TWO
967,Hotel Shalimar,"Maharashtrian, Punjabi",--,36 MINS,400 FOR TWO
968,Hotel Fish Land,"North Indian, Biryani, Snacks",--,40 MINS,400 FOR TWO
969,Hungry Monkey,Snacks,--,45 MINS,200 FOR TWO
970,Mumbai Darbar,"North Indian, Chinese",--,35 MINS,300 FOR TWO
971,The Waffle Jar,"Desserts, Beverages",--,41 MINS,200 FOR TWO
972,Green 9 Restaurant,"Continental, Italian, North Indian, Chinese, Indian",4.1,38 MINS,400 FOR TWO
973,Yaaris Cafe,"Cafe, Burgers, Fast Food, Snacks",--,40 MINS,499 FOR TWO
974,ShakeZone,Beverages,--,45 MINS,200 FOR TWO
975,Chingari Restaurant,"Chinese, Fast Food, Pizzas, Beverages, Snacks",--,47 MINS,200 FOR TWO
976,Vved Veg Restaurant,"Indian, Chinese, Fast Food, Desserts, Juices, Beverages",3.9,51 MINS,500 FOR TWO
977,Duniyadari chinese,Chinese,--,45 MINS,350 FOR TWO
978,Kekiz The Cake Shop,Bakery,--,39 MINS,200 FOR TWO
979,The Burger,"American, Chinese, Indian",--,44 MINS,200 FOR TWO
980,NEW DELHI CHAAP,"North Indian, Chinese, Burgers, Snacks, Beverages",--,45 MINS,300 FOR TWO
981,The Momo's Point,Chinese,--,45 MINS,150 FOR TWO
982,Kulche Amritsar wale,"North Indian, Punjabi, Snacks, Indian",3.2,50 MINS,200 FOR TWO
983,CHAAP EXPRESS,"North Indian, Chinese, Burgers, Snacks, Beverages",--,41 MINS,200 FOR TWO
984,Reddys Chinese,"Chinese, North Indian, Indian",--,43 MINS,250 FOR TWO
985,Krishna chinese,Chinese,--,45 MINS,200 FOR TWO
986,Royal Burger,"American, Indian, Chinese, Snacks",--,45 MINS,200 FOR TWO
987,Reddy's Tandoor & Biryani House,"Tandoor, Biryani, Arabian",--,36 MINS,250 FOR TWO
988,AASWAD THE DESI CAFE,"Fast Food, Chinese, Snacks, Beverages",--,28 MINS,250 FOR TWO
989,Sprinkle Sugar,Bakery,--,28 MINS,600 FOR TWO
990,Rahul Garden Restaurant,"North Indian, Chinese",3.7,30 MINS,500 FOR TWO
991,Impress Cake shop,Sweets,3.1,27 MINS,350 FOR TWO
992,SWAMI PURE VEG,"Indian, North Indian, Chinese, Thalis",4.0,27 MINS,300 FOR TWO
993,Hotel Palkhi Pure Veg,"South Indian, Indian, Chinese, Continental",--,27 MINS,600 FOR TWO
994,The Village Cafe (TVC),"Pizzas, Beverages, Fast Food",--,34 MINS,250 FOR TWO
995,Rohit Wadewala,"Fast Food, Snacks, Biryani",--,33 MINS,100 FOR TWO
996,Bombay Sandwich,"Pizzas, Fast Food, Beverages",4.2,34 MINS,200 FOR TWO
997,CHOPSTIX  CHINESE,Chinese,3.6,36 MINS,150 FOR TWO
998,Hotel Bliss And Family Restaurant And Bar,"North Indian, Chinese, Kebabs, Biryani, Tandoor",--,31 MINS,450 FOR TWO
999,THE VAROONN'S KITCHENS,"Fast Food, Chinese, Indian",--,31 MINS,300 FOR TWO
1000,Kabir cakes,Bakery,--,27 MINS,200 FOR TWO
1001,CHOPSTIX  CHINESE AND MOMOS,Chinese,--,34 MINS,150 FOR TWO
1002,Saranya,"Indian, South Indian, Snacks",--,34 MINS,300 FOR TWO
1003,Hotel Radha,"North Indian, Chinese, Seafood, Biryani, Malwani, Maharashtrian",4.3,22 MINS,400 FOR TWO
1004,Sadda Punjab,"Indian, Punjabi, Biryani, Beverages",3.3,29 MINS,350 FOR TWO
1005,Tatva-The Vegetarian Cuisine,"North Indian, South Indian, Continental, Chinese, Desserts, Beverages",4.2,31 MINS,500 FOR TWO
1006,Nandu's Paratha,North Indian,3.7,32 MINS,300 FOR TWO
1007,Mother's Kitchen,"North Indian, Chinese, Combo",4.1,28 MINS,300 FOR TWO
1008,Chow Chow Chinese,"Chinese, Asian, Pan-Asian, Street Food",3.8,26 MINS,200 FOR TWO
1009,Merwans Cake Stop,"Desserts, Bakery",4.6,17 MINS,400 FOR TWO
1010,Mr Chow's,"Asian, Thai, Chinese, Seafood",4.4,44 MINS,600 FOR TWO
1011,Irani Cafe,"Bakery, Snacks, Fast Food, Desserts, Beverages, Indian, Street Food",4.3,29 MINS,200 FOR TWO
1012,THE CHINESE HUB,Chinese,3.8,23 MINS,300 FOR TWO
1013,Mainland China,"Chinese, Asian",4.3,31 MINS,850 FOR TWO
1014,CakeZone,"Bakery, Desserts, Sweets, Ice Cream",4.2,29 MINS,200 FOR TWO
1015,Way Down South Restaurant,"South Indian, North Indian, Thalis, Beverages",4.2,24 MINS,250 FOR TWO
1016,Absolute China,Chinese,3.6,26 MINS,200 FOR TWO
1017,Cream Stone Ice Cream,"Ice Cream, Desserts, Beverages",4.0,19 MINS,200 FOR TWO
1018,Sadanand Resorts,North Indian,--,33 MINS,600 FOR TWO
1019,Moshi Grrand,"North Indian, Seafood",3.8,33 MINS,400 FOR TWO
1020,Samarth Chinese Fast Food,Chinese,3.8,36 MINS,250 FOR TWO
1021,Mayuresh Restaurant,"North Indian, Chinese",4.1,32 MINS,300 FOR TWO
1022,Onelife Cafe,"Continental, Desserts, Fast Food",4.0,35 MINS,250 FOR TWO
1023,Aradhyam Pure Veg,"Chinese, South Indian, North Indian, Desserts, Beverages, Hyderabadi",2.6,37 MINS,350 FOR TWO
1024,Chaudhary Dhaba,"Indian, Maharashtrian",3.1,30 MINS,200 FOR TWO
1025,Aroma Restaurant,"North Indian, Kebabs, Beverages, Indian, Maharashtrian, Mughlai, Tandoor, Seafoo...",--,38 MINS,500 FOR TWO
1026,La Punjabi,North Indian,3.3,40 MINS,250 FOR TWO
1027,Vedant Hotel	,"North Indian, South Indian, Biryani, Chinese, Beverages",--,27 MINS,400 FOR TWO
1028,Kwality Walls Frozen Dessert and Ice Cream Shop,"Desserts, Ice Cream, Ice Cream Cakes",--,37 MINS,200 FOR TWO
1029,HOTEL DECENT,"North Indian, Chinese, Fast Food, Salads",--,35 MINS,400 FOR TWO
1030,Mayuresh Dining Hall	,"North Indian, Chinese, Sweets",--,33 MINS,399 FOR TWO
1031,Sasarwadi Mutton Khanawal,"Maharashtrian, North Indian, Thalis, Seafood, Beverages",2.8,33 MINS,400 FOR TWO
1032,Golden Wing Family Restaurant,"Chinese, Tandoor, Biryani",4.2,34 MINS,300 FOR TWO
1033,Tiranga Family Restaurant,"North Indian, Chinese, Maharashtrian",3.9,33 MINS,300 FOR TWO
1034,SIZZLING CHINESE AND TANDOOR,"North Indian, Chinese",3.8,32 MINS,200 FOR TWO
1035,NIC Ice Creams,"Ice Cream, Desserts",4.6,17 MINS,120 FOR TWO
1036,KFC,"Burgers, Biryani, American, Snacks, Fast Food",3.9,26 MINS,400 FOR TWO
1037,HOTEL YEDESHWARI,"North Indian, Indian",--,21 MINS,250 FOR TWO
1038,Domino's Pizza,Pizzas,4.3,30 MINS,400 FOR TWO
1039,ROLL OVER BIRYANI,"Biryani, Beverages",3.7,27 MINS,300 FOR TWO
1040,Bombay Sandwich & Grill,"North Indian, American",4.4,21 MINS,150 FOR TWO
1041,Joshi Wadewale,Snacks,3.9,18 MINS,100 FOR TWO
1042,Behrouz Biryani,"Biryani, Mughlai, Lucknowi, Hyderabadi, Kebabs, North Indian, Persian, Desserts",4.0,27 MINS,500 FOR TWO
1043,The Empire Restaurant,"Indian, Tandoor, Chinese",3.9,19 MINS,250 FOR TWO
1044,HOTEL BAJI,"Indian, Chinese, Beverages",--,25 MINS,800 FOR TWO
1045,Hotel Saudagar,North Indian,4.1,29 MINS,300 FOR TWO
1046,Rolls Mania,Fast Food,4.2,20 MINS,200 FOR TWO
1047,Wow cake,Indian,--,23 MINS,500 FOR TWO
1048,Art of cake,Indian,--,23 MINS,500 FOR TWO
1049,THE SCHEZWAN BITES,"Chinese, Snacks",--,23 MINS,250 FOR TWO
1050,The Schezwan Chinese Restaurant,"Snacks, Chinese",--,23 MINS,600 FOR TWO
1051,Arun Pan Shop,Paan,--,37 MINS,50 FOR TWO
1052,Monginis Cake Shop (Powai Naka),"Burgers, Pizzas",4.0,29 MINS,300 FOR TWO
1053,Shinde Shahi Chinese Restaurant,Chinese,3.8,33 MINS,200 FOR TWO
1054,FOOD LAND CHINESE RESTAURANT,"Chinese, Fast Food",--,40 MINS,300 FOR TWO
1055,Dhawdes All India Bhel,"Chaat, Snacks",3.5,32 MINS,60 FOR TWO
1056,Jagdamb Malvani,Snacks,--,37 MINS,100 FOR TWO
1057,Metha's vada pav,Snacks,--,35 MINS,60 FOR TWO
1058,Rolls Mania,Snacks,4.5,35 MINS,200 FOR TWO
1059,Dakkhan Resto,Indian,--,38 MINS,300 FOR TWO
1060,Vasant Bhojanalay,"North Indian, Pizzas",4.0,35 MINS,300 FOR TWO
1061,Bhaijan Birayanis,"Afghani, Biryani",3.2,38 MINS,300 FOR TWO
1062,Hotel Satari Rassa,North Indian,--,37 MINS,300 FOR TWO
1063,WS Bakers,"Bakery, Desserts",4.5,38 MINS,100 FOR TWO
1064,Cad (M) Cad (B) Spicy Corner Veg Lounge,"Pastas, Chinese, Burgers, Ice Cream, Pizzas",3.7,35 MINS,300 FOR TWO
1065,Live Fish Factory Restaurant,"Seafood, Indian",--,40 MINS,400 FOR TWO
1066,The Hungerer's Talkies,"Pizzas, Pastas, Snacks, Desserts, Beverages",--,40 MINS,300 FOR TWO
1067,Khushboo,"North Indian, South Indian, Chinese, Beverages, Desserts",4.1,24 MINS,500 FOR TWO
1068,SWS Veg Pizzaria,Pizzas,4.0,23 MINS,400 FOR TWO
1069,Subway,"Healthy Food, Salads, Snacks, Desserts, Beverages",4.1,31 MINS,350 FOR TWO
1070,ARYAN FAMILY RESTAURANTS,"Indian, Chinese, Tandoor",--,16 MINS,400 FOR TWO
1071,KRUSHNAI CHOUPATI,"North Indian, Chinese, Tandoor, Pizzas, Snacks, Ice Cream, Beverages",--,23 MINS,650 FOR TWO
1072,PK Mutton Bhakari,"Biryani, Thalis, Kebabs",4.0,35 MINS,400 FOR TWO
1073,Relax Pure Veg,"North Indian, Maharashtrian, Chinese, Fast Food",4.3,23 MINS,300 FOR TWO
1074,Sandwich Culture,Beverages,4.6,29 MINS,200 FOR TWO
1075,Kimling,"Chinese, Thai, Pan-Asian, Seafood, Desserts",4.2,37 MINS,500 FOR TWO
1076,The Belgian Waffle Co.,"Waffle, Desserts, Ice Cream, Beverages",4.4,23 MINS,200 FOR TWO
1077,Sainath Khanaval,"North Indian, Thalis",4.6,24 MINS,300 FOR TWO
1078,Kaveri,"Maharashtrian, Punjabi, Seafood",4.1,24 MINS,500 FOR TWO
1079,Kolhapuri Katta,"Maharashtrian, Thalis, North Indian",4.0,26 MINS,400 FOR TWO
1080,Sparshika's Cake Vista,"Desserts, Beverages, Bakery",--,23 MINS,400 FOR TWO
1081,Toss Pizzeria,Italian,--,24 MINS,500 FOR TWO
1082,Rajee's,"Street Food, Fast Food",4.3,22 MINS,250 FOR TWO
1083,Sahich,Maharashtrian,3.7,24 MINS,200 FOR TWO
1084,Kekiz Cake And Cafe,Bakery,--,19 MINS,300 FOR TWO
1085,Marrakesh,"Lebanese, Arabian, Afghani, Mughlai, Mediterranean, Middle Eastern, North Indian...",3.7,28 MINS,350 FOR TWO
1086,RushHrs,"Fast Food, Healthy Food, Salads, Beverages",4.3,24 MINS,400 FOR TWO
1087,Apna Punjab,"Punjabi, North Indian, Chinese, Fast Food, Tandoor, Biryani, Thalis, Combo, Bowl...",4.0,36 MINS,300 FOR TWO
1088,Apne Punjab Da Swad,"Indian, Chinese",4.1,26 MINS,300 FOR TWO
1089,Juice Destiny,"Juices, Beverages, Snacks, Fast Food",3.8,34 MINS,250 FOR TWO
1090,Great Indian Khichdi by EatFit,"Home Food, Indian, North Indian, Healthy Food, Snacks, Desserts, Rajasthani, Sou...",4.3,21 MINS,200 FOR TWO
1091,Hotel Special Jamale,"North Indian, Snacks, Beverages",--,25 MINS,300 FOR TWO
1092,Badshahs Of BIRYANI,"Indian, Biryani",4.0,28 MINS,350 FOR TWO
1093,Diamond Restaurant,North Indian,--,22 MINS,300 FOR TWO
1094,EatFit,"Healthy Food, Pizzas, North Indian, Thalis, Biryani, Chinese",4.1,23 MINS,270 FOR TWO
1095,Kimling XPS,"Chinese, Thai, Pan-Asian, Seafood, Desserts, Beverages",4.0,27 MINS,450 FOR TWO
1096,Heart Of Pizza And Burger,"Beverages, Pizzas, Fast Food",--,25 MINS,350 FOR TWO
1097,CakeZone,"Bakery, Desserts, Sweets, Ice Cream",4.1,28 MINS,200 FOR TWO
1098,Hotel Red Chilly,"Chinese, North Indian",3.8,24 MINS,400 FOR TWO
1099,Fish N Rolls,"Indian, Snacks, Continental, Beverages",4.6,34 MINS,250 FOR TWO
1100,Saathee Restaurant & Bar,"North Indian, Chinese",4.2,33 MINS,200 FOR TWO
1101,Oven Story Pizza,"Pizzas, Italian",4.1,44 MINS,400 FOR TWO
1102,Nimrah Biryani,"North Indian, Biryani, Chinese",--,32 MINS,250 FOR TWO
1103,New York Waffles & Dinges,"Waffle, Bakery, Desserts, Beverages",4.0,34 MINS,250 FOR TWO
1104,Absolute China,Chinese,3.8,41 MINS,200 FOR TWO
1105,HOT PAN,"Chinese, North Indian",--,28 MINS,200 FOR TWO
1106,New Aaoji Khaoji,"Indian, North Indian, Thalis",4.2,37 MINS,800 FOR TWO
1107,Chow Chow Chinese,Chinese,3.8,44 MINS,200 FOR TWO
1108,Mothers Canteen,"Home Food, Thalis, North Indian, Chinese",--,37 MINS,400 FOR TWO
1109,Winners Pizza (Fresh Dough),"Pizzas, Italian, Desserts, Beverages",3.5,37 MINS,300 FOR TWO
1110,Behrouz Biryani,"Biryani, Mughlai, Lucknowi, Hyderabadi, Kebabs, North Indian, Persian, Desserts",4.3,40 MINS,500 FOR TWO
1111,DESI HANDI,"North Indian, Chinese",--,37 MINS,400 FOR TWO
1112,Jenny's Brownies,"Waffle, Desserts, Beverages, Ice Cream, Bakery",4.5,29 MINS,250 FOR TWO
1113,Kavi Garden Restaurant,"North Indian, Chinese",4.2,47 MINS,600 FOR TWO
1114,Wack Waffles & Brownies,"Waffle, Bakery, Beverages",4.3,38 MINS,250 FOR TWO
1115,Biggies Burger,"American, Fast Food, Beverages",3.7,27 MINS,300 FOR TWO
1116,Krishnai Veg Non Veg Restaurant,"North Indian, Chinese",4.2,22 MINS,500 FOR TWO
1117,Subway,"Healthy Food, Salads, Snacks, Desserts, Beverages",4.1,33 MINS,350 FOR TWO
1118,Dandoosh,Middle Eastern,4.0,28 MINS,800 FOR TWO
1119,Marrakesh,"Lebanese, Arabian, Afghani, Mughlai, Mediterranean, Middle Eastern, North Indian...",3.9,29 MINS,350 FOR TWO
1120,Big Daddy's,"American, Italian, Beverages",3.9,26 MINS,300 FOR TWO
1121,Garwa Veg & Non Veg,"North Indian, Biryani, Mughlai, Chinese, Tandoor",3.6,27 MINS,400 FOR TWO
1122,Foodginie Express,"North Indian, Desserts",4.2,24 MINS,250 FOR TWO
1123,The Belgian Waffle Co.,"Waffle, Desserts, Ice Cream, Beverages",4.5,28 MINS,200 FOR TWO
1124,TANDOOR CORNER,"Tandoor, North Indian, Chinese",--,23 MINS,250 FOR TWO
1125,The Momo Panda,Chinese,4.2,29 MINS,250 FOR TWO
1126,BOX8 - Desi Meals,"North Indian, Biryani, Thalis, Home Food",4.0,22 MINS,250 FOR TWO
1127,Didi's Kitchen,"North Indian, Bengali, Biryani, Chinese, Thalis, Snacks",3.8,27 MINS,200 FOR TWO
