,Name,Type,Rating,Delivery Time,Price
500,Amruta Pure Veg,"South Indian, North Eastern, Chinese, Beverages",--,39 MINS,200 FOR TWO
501,Friends Point,"Chinese, Biryani",--,39 MINS,200 FOR TWO
502,Chai Coffee Charcha,"Chinese, Pizzas, Pastas, Beverages, Desserts, Biryani",3.8,44 MINS,300 FOR TWO
503,Prathmesh Roll House,"Chinese, South Indian, North Indian, Fast Food",4.0,43 MINS,150 FOR TWO
504,Vicky Bamboo House,"Chinese, Salads",4.2,42 MINS,500 FOR TWO
505,R.K's Kitchen,Indian,--,51 MINS,200 FOR TWO
506,KGN Xprs,North Indian,3.6,39 MINS,500 FOR TWO
507,Hotel Amrai,"North Indian, Seafood",4.0,46 MINS,600 FOR TWO
508,PK Biryani House (Deccan),"Biryani, Maharashtrian, North Indian, Mughlai, Hyderabadi, Indian",4.0,30 MINS,400 FOR TWO
509,MH 12 Pav Bhaji,"Snacks, Pizzas, Beverages, Street Food",4.2,24 MINS,250 FOR TWO
510,Kok Pa Chinese,"Chinese, Asian",4.1,27 MINS,250 FOR TWO
511,Durvankur Dining Hall,Maharashtrian,--,28 MINS,600 FOR TWO
512,Chaitanya Paranthas,"North Indian, Punjabi, Chinese, Thalis, Beverages, Desserts",4.1,27 MINS,250 FOR TWO
513,Panchali Restaurant,North Indian,4.2,22 MINS,500 FOR TWO
514,Oh! Calcutta,Bengali,4.2,40 MINS,800 FOR TWO
515,Shahji's Parantha House (Laxmi Road),North Indian,4.3,31 MINS,400 FOR TWO
516,Oven Story Pizza,"Pizzas, Italian",4.1,26 MINS,400 FOR TWO
517,Hotel Bismillah,North Indian,3.9,29 MINS,300 FOR TWO
518,Faasos - Wraps & Rolls,"Fast Food, North Indian, Street Food, Desserts",4.4,24 MINS,200 FOR TWO
519,Pizza Hut,Pizzas,3.7,32 MINS,350 FOR TWO
520,Oye Kiddan,"Punjabi, North Indian, Desserts, Thalis",4.2,38 MINS,250 FOR TWO
521,Gokul Chinese,Chinese,3.9,26 MINS,300 FOR TWO
522,Vrudheshwar Pure Veg,North Indian,4.0,24 MINS,300 FOR TWO
523,McDonald's,"Burgers, Beverages, Cafe, Desserts",4.2,24 MINS,400 FOR TWO
